model,band,n,MAE,R,P,NAE
geco2_18415673,"[0,10)",405,4.933,0.6196,0.2801,2.1001
geco2_18415673,"[10,50)",530,8.64,0.6054,0.538,0.3628
geco2_18415673,"[50,100)",360,17.25,0.575,0.5829,0.2393
geco2_18415673,"[100,200)",340,30.424,0.5389,0.5548,0.2178
geco2_18415673,"[200,inf)",365,122.879,0.3767,0.5063,0.2597
geco2_18415673,all,2000,33.991,0.446,0.526,
cat_18415707,"[0,10)",405,3.64,0.6269,0.3491,1.4287
cat_18415707,"[10,50)",530,7.245,0.6144,0.5778,0.3073
cat_18415707,"[50,100)",360,15.878,0.5793,0.6177,0.2194
cat_18415707,"[100,200)",340,26.738,0.5448,0.5909,0.1914
cat_18415707,"[200,inf)",365,120.611,0.3849,0.5255,0.2541
cat_18415707,all,2000,32.072,0.4534,0.5534,
catdensg_18415895,"[0,10)",405,4.215,0.6083,0.3098,1.6597
catdensg_18415895,"[10,50)",530,7.674,0.6113,0.5595,0.33
catdensg_18415895,"[50,100)",360,16.908,0.5746,0.6051,0.2329
catdensg_18415895,"[100,200)",340,28.812,0.5345,0.578,0.2065
catdensg_18415895,"[200,inf)",365,123.192,0.3753,0.5122,0.2635
catdensg_18415895,all,2000,33.311,0.4445,0.5394,
